#,Player,Age,Market value,Name,Position
23,João Félix Second Striker,20.0,81000000,João Félix,SS
11,Bernardo Silva Attacking Midfield,25.0,80000000,Bernardo Silva,AM
7,Cristiano Ronaldo Centre-Forward,35.0,60000000,Cristiano Ronaldo,CF
16,Bruno Fernandes Attacking Midfield,25.0,48000000,Bruno Fernandes,AM
18,Rúben Neves Defensive Midfield,23.0,40000000,Rúben Neves,DM
2,João Cancelo Right-Back,26.0,36000000,João Cancelo,RB
14,Ricardo Pereira Right-Back,26.0,32000000,Ricardo Pereira,RB
21,Nélson Semedo Right-Back,26.0,32000000,Nélson Semedo,RB
4,Rúben Dias Centre-Back,23.0,30500000,Rúben Dias,CB
17,Diogo Jota Centre-Forward,23.0,28000000,Diogo Jota,CF
5,Raphaël Guerreiro Left-Back,26.0,28000000,Raphaël Guerreiro,LB
13,Danilo Pereira Defensive Midfield,28.0,24000000,Danilo Pereira,DM
